eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field
2-s2.0-105039269551,10.1016/j.jempfin.2026.101730,2026,Chen S.S.; Kim J.; Peng S.C.,Chen S.S.,The real effects of AI: Evidence from corporate investment efficiency,Journal of Empirical Finance,09275398,,88,,0,2,Artificial intelligence (AI) | ChatGPT | Corporate investment | Investment efficiency | Textual analysis,"This study examines how artificial intelligence (AI) adoption is associated with corporate investment efficiency among U.S. firms. We measure AI adoption using AI mentions, defined as the proportion of AI-related terminology in senior management remarks during earnings calls, and validate this measure by showing that it is positively associated with 10-K discussions of AI applications in operational decision-making, product development, and business expansion. We construct an instrumental variable based on exposure to university-authored AI research—measured as a normalized score of textual similarity between non-corporate academic publications and industry descriptions—to address concerns that AI adoption may be endogenous to firms’ investment decisions and investment efficiency. Our baseline results indicate that higher AI adoption is associated with greater investment efficiency, and this association remains in two-stage least squares regressions using the AI technology exposure instrument. We also find that firms with higher AI mentions tend to have higher Tobin's q over longer horizons, consistent with a gradual reflection of AI-related benefits in firm value. Additional analyses suggest several mechanisms: AI adoption is associated with more accurate management sales forecasts, higher financial reporting quality, and greater process and product innovation intensity. Cross-sectional evidence further indicates that regulatory frictions, such as exposure to data-privacy regulation, attenuate the association between AI adoption and investment efficiency. Overall, the findings suggest that AI adoption is an emerging factor in corporate investment and capital allocation.",3,FINANCE
2-s2.0-105032363062,10.1016/j.ijinfomgt.2026.103057,2026,Wang S.; Zhang H.,Wang S.,Artificial intelligence for information-driven resilience: Enhancing strategic adaptation and entrepreneurial success,International Journal of Information Management,02684012,,89,,18,0,Artificial intelligence | Digital transformation | Entrepreneurial performance | Information management | Knowledge management | Strategic resilience,"This study investigates how artificial intelligence (AI) innovation capability—the systematic integration, management, and application of AI-driven information—enhances strategic resilience and entrepreneurial success under conditions of market volatility and resource constraints. We conceptualize information-driven resilience as the organizational capacity to convert AI-enabled information flows into adaptive responses that sustain competitive functioning. Drawing on dynamic capability theory, we examine how early-stage ventures transform AI capabilities into adaptive capacity and competitive advantage. Using a multi-method approach, we collected two-wave survey data from 357 early-stage ventures in China and Europe, complemented by importance-performance map analysis (IPMA), fuzzy-set qualitative comparative analysis (fsQCA), and semi-structured interviews. Our convergent multi-method design provides complementary evidence: PLS-SEM establishes the mediation hypothesis, IPMA identifies actionable managerial priorities, fsQCA reveals equifinal configurational pathways to high performance, and interviews illuminate the underlying mechanisms. Specifically, AI innovation capability is significantly associated with strategic resilience, which is positively related to entrepreneurial success. The mediating effect of strategic resilience is robust and fully accounts for the AI capability–success relationship, indicating that the mechanism through which AI investments generate performance returns is fundamentally organizational rather than technological in nature. The value derived from AI is unlocked by first building organizational capacity for adaptive learning and agile decision-making. The study contributes to information management literature by clarifying how AI-enabled information processing capabilities enhance adaptive responses in uncertain environments, while providing practitioners with an actionable framework for developing information-driven resilience through strategic AI implementation.",2,INFO MAN
2-s2.0-105035706954,10.1016/j.techsoc.2026.103333,2026,Chen T.; Alghafes R.; Rustambekov E.; Malik P.; Rai J.S.,Chen T.,AI and metaverse as transformative tools for knowledge management: behavioral reasoning and its implications for organizational performance,Technology in Society,0160791X,,87,,0,0,Behavioral reasoning theory | Knowledge management | Metaverse | Organizational performance | Sustainable competitive advantage,"Metaverse empowers companies and consumers with the transformative digital experience that has disrupted social interactions, commerce, and digital interactions. Although the user experience was improved, and the number of business opportunities increased, the metaverse is still not widely accepted, and the causes of this phenomenon should be further investigated. The aim of the present study is to explain why the metaverse has not enjoyed high acceptance even with its business benefits. It examines the relationship between the perceived value of the metaverse and other factors that facilitate or inhibit adoption, knowledge management, sustainable competitive advantage, and organizational performance and their relationship with metaverse adoption. The conceptual model was created and tested based on behavioral reasoning theory with the responses of 289 employees that are working in different industries. The data was gathered and examined with a structural equation model through IBM AMOS 26. The research established that the perceived value of metaverse, adoption intentions, and knowledge management show a significant relationship with sustainable competitive advantage and organizational performance. On the other hand, the perceived value of metaverse, the reasons not to adopt it, and knowledge management did not have a significant relationship with each other. These connections explain that certain variables in the metaverse ecosystem affect the overall outcomes in an organization; knowledge management was not found to be significantly related to the others. These connections explain the role played by certain aspects in the metaverse ecosystem in organizational performance, which highlights the role of positive perceptions and active knowledge management to produce business gains. The paper has demonstrated the strategic value of the control of perceptions associated with the metaverse and the value of the knowledge processes in enhancing overall performance and long-term competitiveness.",2,SOC SCI
2-s2.0-105033231131,10.1016/j.ijinfomgt.2026.103059,2026,Ullah A.; Sun X.; Yalan W.; Ali A.,Ullah A.,"AI-driven performance in organizations: Unveiling the role of team dynamics, innovation, and commitment using a hybrid approach",International Journal of Information Management,02684012,,89,,1,0,Artificial intelligence | Corporate innovation and innovation capabilities | High-commitment workforce | Team dynamics,"As artificial intelligence (AI) adoption accelerates across industries, the role of organizational mechanisms that enable its effective utilization becomes increasingly critical. Drawing on innovation diffusion theory, this study investigates how team dynamics, high-commitment workforces (HCW), and corporate innovation and innovation capabilities (CIIC) mediate the relationship between AI adoption and organizational performance. Using survey data from 419 Chinese manufacturing firms, the study employs structural equation modeling alongside long short-term memory techniques to validate the proposed framework. The findings reveal that cohesive team dynamics enhance collaboration and knowledge sharing, while strong CIIC promotes strategic alignment and innovation outcomes. Moreover, a highly committed workforce amplifies the performance benefits of AI adoption by fostering deeper employee engagement, greater adaptability, and enhanced organizational flexibility. This study contributes to the literature on organizational behavior and technology management by demonstrating how human and organizational enablers unlock the performance-enhancing potential of AI. The results also provide practical guidance for managers aiming to design supportive organizational environments and leverage AI to achieve sustainable competitive advantage.",2,INFO MAN
2-s2.0-105042510729,10.1016/j.jclepro.2026.148811,2026,Soltanisehat L.; Badadale O.A.; Bompoti N.,Soltanisehat L.,Unveiling the ESG weighting system using multi-level global analysis: A machine learning approach with SHAP explainability,Journal of Cleaner Production,09596526,18791786,571,,0,0,ESG | Industrial context | Machine learning | Regional context | SHAP value,"Environmental, Social, and Governance (ESG) metrics are increasingly critical for evaluating corporate sustainability and investment risk. As of today, several ESG frameworks consider different metrics, often assigning different weights to ESG pillars. However, these weights are often derived through opaque methodologies and could vary at the industry and company levels, limiting transparency and cross-company comparability. This research seeks to understand the primary drivers of ESG's weight emphasis across firms while maintaining regional and industry contextualization. In addition, interpretable models are developed using machine learning that predict ESG pillar weights based on structured economic and market variables, while considering the industry- and region-level heterogeneity among firms. The analysis dataset consisted of 1327 observations spanning 13 industrial groups and 27 countries in three regions of Asia, Europe, and North America. The study provides insights into how financial performance, industry concentration, and, to a lesser extent, regional context influences the weighting of the ESG pillars. Our findings demonstrate the need for tailored ESG frameworks that capture the firm-specific and industry-specific components while accounting for regional-level considerations.",1,SECTOR
2-s2.0-105033074926,10.1016/j.ijpe.2026.110010,2026,Li L.; Shi R.; Zhang R.; Chen L.,Li L.,How can firms leverage responsible artificial intelligence to build competitive advantages? The role of supply chain justice and complexity,International Journal of Production Economics,09255273,,297,,0,0,Competitive advantages | Organizational justice theory | Responsible AI | Supply chain complexity | Supply chain justice,"In highly interconnected supply chains, firms are increasingly adopting artificial intelligence (AI) to improve their forecasting, resource allocation, and responsiveness. However, opaque and bias-prone algorithms can obscure decision-making processes and undermine collaboration between supply chain partners. Responsible AI, in which AI is designed, developed, and deployed in such a way that ensures its ethical conduct, transparency, and alignment with human values, offers a potential remedy, but its relational effects in supply chains remain unclear. Drawing on organizational justice theory, we test whether supply chain justice, encompassing both distributive and procedural justice, mediates the responsible AI–competitive advantage link, with supply chain complexity as a boundary condition. Survey data from 218 Chinese firms show that responsible AI fosters both distributive and procedural justice, which in turn facilitates firms’ competitive advantages. Further, we identify an asymmetric moderating effect: high supply chain complexity weakens the mediating effect of distributive but not procedural justice. Our study advances the research on AI-enabled supply chains by identifying how ethical AI practices can foster firm performance via supply chain justice and when supply chain complexity weakens this effect. Practically, our findings suggest that in complex supply networks, ensuring transparent and consistent decision-making processes provides a more robust mechanism for sustaining competitive advantages compared with focusing only on outcome allocation.",3,OPS&TECH
2-s2.0-105038444900,10.1016/j.iref.2026.105364,2026,Qiu X.; Gan X.; Zhang C.,Qiu X.,Generative AI–based readability as a measure of disclosure quality: Evidence from ESG rating divergence,International Review of Economics and Finance,10590560,,109,,0,1,CSR report | ESG rating divergence | Generative AI | Greenwashing | Readability,"ESG ratings have become an increasingly important tool for evaluating firms' non-financial performance. However, substantial divergences across rating agencies weaken their credibility and exacerbate information asymmetry in capital markets. Using CSR reports of Chinese listed companies from 2015 to 2023, this study develops a novel readability metric based on GPT-4.1, fine-tuned with domain-specific corpora. The fine-tuned model outperformed traditional lexical measures and the non-fine-tuned model in scoring stability, discriminative power, and contextual adaptability, thus advancing from simple “model application” to “framework innovation.” In addition, AI-assessed readability was significantly and negatively associated with ESG rating divergence, indicating that higher disclosure quality helps reduce inter-agency disagreement and information asymmetry. In contrast, conventional lexical indicators exhibited no significant effect. Further analysis demonstrated that corporate greenwashing weakened this mitigating role. Mechanism tests provide evidence that readability reduces divergence primarily by improving disclosure quality and limiting negative media sentiment. The effect was stronger among firms with green investors, higher-quality firm–investor interactions, and Global Reporting Initiative-based reporting. Sub-dimension analysis revealed that readability mainly alleviated divergence in the social and governance dimensions, while showing a limited impact on the environmental dimension. This study highlights the essential role of non-financial disclosure quality in enhancing the information environment and improving ESG rating consistency, offering novel financial evidence for investors’ risk assessment and regulatory policy refinement.",2,ECON
2-s2.0-105043887875,10.33168/JLISS.2026.0705,2026,Khattab S.; Shaar I.A.; Alhyasat W.B.A.K.; Al-Abbadi L.; Alhyasat E.B.; Taqa S.B.A.,Khattab S.,Artificial Intelligence Capabilities and Competitive Advantage: The Mediating Role of Organizational Agility and the Moderating Effect of Industry Dynamism,Journal of Logistics Informatics and Service Science,,24092665,13,60-77,0,1,Artificial Intelligence Capabilities | Competitive Advantage | Industry Dynamism | Informatics | Organizational Agility | Service Operations,"Artificial intelligence capabilities are becoming more and more important drivers for improving information processing, operational coordination, and service responsiveness as digital transformation progresses. Although artificial intelligence is commonly perceived as a way to enhance organizational performance, there is currently conflicting evidence regarding how artificial intelligence capabilities actually result in competitive advantage, especially when it comes to the impact of organizational agility and varying degrees of industry dynamism in businesses operating in emerging markets. Analyzing survey data from 191 Jordanian manufacturing companies in the first quarter of 2025, structural equation modeling results show that organizational agility (β = 0.44) and competitive advantage (β = 0.38) are positively impacted by artificial intelligence capabilities. Additionally, the analysis shows that the relationship between competitive advantage and artificial intelligence skills is partially mediated by organizational agility (β = 0.21). Additionally, the direct association between competitive advantage and AI skills is positively moderated by industry dynamism (β = 0.19). By demonstrating that artificial intelligence capabilities result in larger strategic benefits when they are matched with organizational response procedures and implemented in highly dynamic industry situations, this study expands on studies on informatics and service science.",,
2-s2.0-105037443023,10.1016/j.jii.2026.101125,2026,Anjum M.; Xu Y.; Makki B.I.,Anjum M.,"From generative AI to sustainable performance: The mediating roles of knowledge management, intellectual capital, and competitive advantage in manufacturing SMEs",Journal of Industrial Information Integration,2452414X,,52,,0,0,Competitive advantage | Generative AI | Intellectual capital | Knowledge management | Perceived organizational support | Sustainable organizational performance,"Manufacturing small and medium-sized enterprises (SMEs) face growing pressure to achieve sustainable performance amid rapid technological change and intensifying global competition. While Generative Artificial Intelligence (GAI) holds considerable promise for transforming organizational capabilities, the mechanisms through which it contributes to sustainable outcomes remain poorly understood. Drawing on the Resource-Based View (RBV), this study examines how GAI influences sustainable organizational performance through sequential knowledge-driven processes in Chinese manufacturing SMEs. Specifically, it investigates the mediating roles of knowledge management, intellectual capital, and competitive advantage, as well as the moderating role of perceived organizational support on the GAI knowledge management relationship. A quantitative cross-sectional survey was conducted with 384 managers from manufacturing SMEs across China's major industrial regions. Partial Least Squares Structural Equation Modeling (PLS-SEM) was employed for analysis. The findings reveal that GAI positively shapes knowledge management practices, which in turn strengthen intellectual capital and competitive advantage, ultimately enhancing sustainable organizational performance. The sequential mediation pathway is statistically significant, confirming that knowledge-driven processes serve as the critical bridge between GAI adoption and long-term organizational sustainability. Contrary to expectations, perceived organizational support negatively moderates the GAI knowledge management relationship, suggesting that high support levels may foster overreliance on AI-generated knowledge, thereby reducing employees' critical engagement with knowledge processes. This study advances RBV theory by positioning GAI as a firm-specific strategic resource whose value depends on its integration within organizational knowledge ecosystems, offering practical guidance for SME managers navigating AI-driven transformation.",,
2-s2.0-105038301914,10.1016/j.bushor.2025.08.004,2026,Campbell C.; Sands S.; Whittaker L.; Mavrommatis A.,Campbell C.,The AI intelligence playbook: Decoding GenAI capabilities for strategic advantage,Business Horizons,00076813,,69,557-574,3,1,Creative intelligence | GenAI | Generative AI | Human-AI collaboration | Intelligence management | Multiple Intelligences Theory,"The rapid adoption of generative artificial intelligence (GenAI) across industries has created new opportunities for efficiency, creativity, and innovation. At the same time, it has introduced confusion about what GenAI is capable of, how it should be used, and where it fits within existing business structures. While GenAI is often treated as a singular capability, we argue that it is better understood as a collection of distinct intelligences that vary in maturity and application. Drawing on Gardner’s Multiple Intelligences Theory, this article introduces a taxonomy of GenAI intelligences and explores their relationship to current and emerging cases. Leveraging this taxonomy, we provide practical guidance to help businesses identify where GenAI can add value and where it remains limited. We propose that companies adopt an intelligence management approach that treats GenAI not as a generic tool but as a dynamic and evolving collaborator. By understanding the specific capabilities of different AI intelligences, business leaders can align GenAI adoption with strategic goals, clear communication, and competitive advantage.",2,ETHICS-CSR-MAN
2-s2.0-105027431076,10.1108/JMTM-04-2025-0308,2026,Sharma P.; Dang G.P.,Sharma P.,Unveiling the transformative role of artificial intelligence in improving business process performance,Journal of Manufacturing Technology Management,1741038X,17587786,37,905-925,1,0,AI capabilities | Business process performance | Infrastructure flexibility | Management capabilities | Manufacturing entities | Personnel expertise,"Purpose – The present study intends to examine the role of AI in enhancing the process performance of manufacturing entities in India. It aims to explore factors that measure the business process performance, which are influenced by the adoption of AI within various business processes. Design/methodology/approach – The research conducted an empirical survey on Indian Manufacturing organizations using a questionnaire-based survey method on those businesses that have adopted AI within their business processes. For this, the study targeted C-level technology managers in the select manufacturing businesses in India. The structural equation modelling (SEM) technique was applied for data analysis. Findings – The findings of the study indicate that the adoption of AI has a significant positive role in improving the business process performance of manufacturing firms. It can bring manifold advantages to business firms, including accuracy, speed, operational cost reduction, improved quality, enhanced productivity and efficiency. These benefits can help organizations in India to gain a competitive advantage in the changing business world. Originality/value – The present article explores the transformative role of AI in the manufacturing sector of a rapidly developing economy like India. It provides empirical evidence on certain crucial benefits of AI, including quality enhancement, cost efficiency and productivity enhancement. This research offers valuable insights for both business leaders and policymakers on leveraging AI to drive industrial growth and competitiveness. It contributes to the limited literature on the practical implications of AI in emerging markets, particularly within the Indian context.",1,OPS&TECH
