eid,doi,year,authors,first_author,title,journal,issn,eissn,volume,pages,citedby,openaccess,authkeywords,abstract,ajg2024,ajg_field,screen_decision,screen_reason,screen_notes
2-s2.0-85137707812,10.1080/09537325.2022.2116569,2024,Pasayat A.K.; Mitra A.; Bhowmick B.,Pasayat A.K.,Determination of essential features for predicting start-up success: an empirical approach using machine learning,Technology Analysis and Strategic Management,09537325,14653990,36,1810-1828,4,0,Entrepreneurial ecosystem | feature selection | mutual information | RFE | start-up,"Various significant features influence the success of a startup in an entrepreneurial ecosystem. However, identification of such features has not been performed coherently. This study aims to bridge the gap by determining the essential features impacting a startup's success. In the first part, a machine learning-based approach is applied empirically to determine critical features from ten datasets. Then the obtained features were validated using popular feature selection techniques based upon Recursive Feature Elimination (RFE), SelectKBest, and XGBoost to assure the final significant features. Furthermore, mutual information is used between the features obtained from the proposed approach and the ground truth to measure the approach's efficacy, which is calculated to be 90%. The significant features acquired through this approach imply how the entrepreneurs prioritise the determining features in startup success and maximise the socio-economic outputs. This study provides an essential contribution to the entrepreneurial finance literature by empirically exploring the features influencing a startup's success based on its financial performance in different stages of its lifecycle. Startups can apply the implications of this study to reduce uncertainty and enhance performance. It also helps founders, investors, and researchers understand a startup's performance and plan future steps accordingly.",2,STRAT,exclude,E3,ML determines startup-success features; AI as method
2-s2.0-85189496050,10.1016/j.ijinfomgt.2024.102781,2024,Peretz-Andersson E.; Tabares S.; Mikalef P.; Parida V.,Peretz-Andersson E.,Artificial intelligence implementation in manufacturing SMEs: A resource orchestration approach,International Journal of Information Management,02684012,,77,,193,1,AI | Artificial intelligence | Capabilities | Competitive advantage | Digital transformation | Manufacturing | Resource orchestration | Resources | Small and medium-sized enterprises (SMEs),"Artificial intelligence (AI) is playing a leading role in the digital transformation of enterprises, particularly in the manufacturing industry where it has been responsible for a profound transformation in key business and production operations. Despite the accelerated growth of AI technologies, knowledge of the implementation of AI by small and medium-sized enterprises (SMEs) remains underexplored. Thus, this study seeks to examine how manufacturing SMEs orchestrate resources for AI implementation. Building on the resource orchestration (RO) theory and recent work on AI implementation, we investigate multiple case studies involving manufacturing SMEs in Sweden operating in the packaging, plastic, and metal sectors. Our findings indicate that SMEs structure a portfolio based on acquiring and accumulating AI resources. AI resources are bundled into learning and governance capabilities to leverage configurations for AI implementation. Through a dynamic process of AI resource orchestration, SMEs effectively leverage AI resources and capabilities by mobilising technologies, coordinating manufacturing processes, and empowering skilled people. This research contributes to existing practice and the academic literature on AI implementation, highlighting how SMEs orchestrate AI resources and capabilities to drive an organisation's digital transformation whilst creating a competitive advantage.",2,INFO MAN,exclude,E4,case studies on HOW SMEs orchestrate AI resources; no performance outcome measured
2-s2.0-85207654327,10.1016/j.cie.2024.110655,2024,Pesqueira A.; de Bem Machado A.; Bolog S.; Sousa M.J.; Pereira R.,Pesqueira A.,Exploring the impact of EU tendering operations on future AI governance and standards in pharmaceuticals,Computers and Industrial Engineering,03608352,,198,,12,1,Artificial Intelligence (AI) | Ethics | Governance | Operational Efficiency | Pharmaceutical Industry | Tender Management (TM),"This research examines the incorporation of artificial intelligence (AI) into the domain of tender management (TM) within the pharmaceutical industry, with a particular emphasis on operational efficiency, governance, and compliance with European regulatory standards. A comparative analysis of four companies—two that have adopted AI and two that have not—reveals significant discrepancies in the management of TM processes between AI-driven and traditional companies. The study employs the Delphi method to ascertain expert consensus on eight critical areas of AI governance, including data privacy, transparency, and ethical AI use. The findings indicate that companies integrating AI demonstrate enhanced decision-making capabilities, accelerated processing times, and enhanced stakeholder engagement. However, they also encounter challenges pertaining to ethical governance and regulatory compliance. The research highlights the necessity of aligning the adoption of AI with the latest European directives, such as the AI Act and General Data Protection Regulation (GDPR), to ensure both operational efficiency and adherence to ethical standards. The broader implications of the study underscore the necessity for pharmaceutical companies to develop robust governance frameworks, prioritize ethical considerations, and maintain regulatory compliance to fully leverage the potential of AI. Additionally, the study contributes to the ongoing scholarly discourse by providing empirical evidence on the interplay between AI, ethics, and governance, thereby encouraging further interdisciplinary research. This work emphasizes the critical role of strategic AI adoption in maintaining competitive advantage while safeguarding societal trust and adhering to legal requirements.",2,OPS&TECH,include,,"FULL-TEXT VERDICT: include. Comparative 4-firm case design (2 AI adopters vs 2 non), 53 participants; reports efficiency differences (processing times, decision quality). Code as qualitative comparative evidence"
2-s2.0-85179066944,10.1016/j.jbusres.2023.114402,2024,Pham P.; Zhang H.; Gao W.; Zhu X.,Pham P.,Determinants and performance outcomes of artificial intelligence adoption: Evidence from U.S. Hospitals,Journal of Business Research,01482963,,172,,40,0,AI Adoption | Artificial Intelligence | Healthcare | Hospital Performance,"Integrating Artificial Intelligence (AI) technology in hospitals offers a unique opportunity to improve hospitals’ operating and financial performance. This study is among the first to investigate the determinants and subsequent performance outcomes associated with AI adoption. Using an extensive dataset encompassing 941 AI hospital-year observations and 941 non-AI hospital-year observations, we find that hospitals with a larger market share are great candidates to adopt AI. Furthermore, these hospitals can leverage AI technology to enhance various aspects of performance, including total outpatient revenue, total inpatient revenue, productivity, and occupancy. Importantly, we demonstrate that controlling for endogeneity is essential in assessing the performance outcomes of AI adoption. Our findings shed light on the determinants of AI adoption decisions in healthcare and underscore the manifold benefits AI technology brings to hospital operations and financial outcomes.",3,ETHICS-CSR-MAN,include,,"AI adoption determinants + performance outcomes (revenue, productivity, occupancy), 941 US hospitals"
2-s2.0-85203299011,10.1080/07421222.2024.2376383,2024,Queiroz M.; Anand A.; Baird A.,Queiroz M.,Manager Appraisal of Artificial Intelligence Investments,Journal of Management Information Systems,07421222,1557928X,41,682-707,21,0,AI | Artificial intelligence | business value | decision delegation | investment appraisal | IS investment | temporal tone | time-situated agency,"Artificial intelligence (AI) is an important source of competitive advantage as it enables task augmentation and automation. However, while AI can create significant value, it is important to note that AI investments are fraught with risks and uncertainties. Thus, managers are likely to carefully evaluate potential AI investments before committing to investing. However, we know little about how managers’ appraisal of AI influences their investment choices. Drawing upon theorization in the areas of business value of AI, agentic information systems (IS) appraisal, and time-situated agency, we extend existing theory in two ways: (1) development of an AI classification (foundational typology) that proposes two dimensions (action autonomy and learning autonomy) for classifying AI by type and level of autonomy; and (2) development of propositions that leverage time-situated agency and the AI classification to explicate how managers’ delegation preferences influence their AI investment appraisal. This paper contributes a foundational theoretical platform for furthering AI investment appraisal research. In addition, the paper sets an agenda for future research in this area.",4,INFO MAN,exclude,E1,"theory paper: AI classification + propositions, no empirical test"
2-s2.0-85139857450,10.1109/TEM.2022.3203469,2024,Sharma S.; Singh G.; Islam N.; Dhir A.,Sharma S.,Why Do SMEs Adopt Artificial Intelligence-Based Chatbots?,IEEE Transactions on Engineering Management,00189391,15580040,71,1773-1786,102,2,Artificial intelligence (AI) | chatbots | covariance-based structural equation modeling | small and medium enterprises (SMEs) | technology-organization-environment (TOE) framework,"Developments in artificial intelligence (AI) have led to the emergence of new technologies offering unique business opportunities. This article examines the factors influencing AI-based chatbot implementation by small and medium enterprises (SMEs). We grounded the article's conceptual model in the technology-organization-environment (TOE) framework. Employing a quantitative research methodology, we collected data from 292 SME respondents via an online survey. We then utilized covariance-based structural equation modeling to analyze the data. The empirical results reveal that perceived employee capability, perceived availability of financial support, perceived top management support, perceived cost, perceived complexity, and perceived relative advantage are positively associated with SMEs' AI-based chatbot adoption intention. This article, thus, contributes to the scarce literature on the adoption of AI-based chatbots for SMEs in developing small island countries. The findings provide meaningful insights to developers, marketers, and SMEs to enhance firms' performance and competitiveness by increasing the adoption of AI-based chatbots.",3,OPS&TECH,exclude,E4,"outcome = chatbot adoption intention, no performance"
2-s2.0-85148467363,10.1109/TEM.2023.3236768,2024,Sharma V.K.; Kumar H.,Sharma V.K.,Enablers Driving Success of Artificial Intelligence in Business Performance: A TISM-MICMAC Approach,IEEE Transactions on Engineering Management,00189391,15580040,71,4665-4675,30,0,Artificial intelligence (AI) | business performance | firm value | total interpretive structural modeling (TISM) and matrice impact croises multiplication applique (MICMAC),"Organizations have recently seen a significant transition from implementing technologies in business processes. The cutting-edge technology, such as artificial intelligence (AI), makes business firms more competitive in a dynamic world. This study aims to investigate key variables that drive success of AI to improve financial performance and values of a firm. The inter-relationships among variables are established to explain the emergence of AI in a novel hierarchical model. The study deployed 'Total Interpretive Structural Modeling' and 'Cross-Impact Matrix Multiplication Applied to Classification' for developing a hierarchical model to analyze inter-relationships among identified key variables. The results hold important insights for strategic decisions and are useful for business firms to invest in advanced technology, such as AI, to enhance business performance and revenue in domestic as well as in global markets. Insights drawn from analysis will help business firms to grow in a competitive landscape. The decision makers can utilize the proposed hierarchical model to enhance the performance of business along with process automation. The found interactions among the key variables can be utilized to understand the ecosystem that drives business performance.",3,OPS&TECH,exclude,E4,TISM-MICMAC enabler model from expert input; no performance outcome measured
2-s2.0-85189363327,10.1007/s41469-024-00165-1,2024,Shipilov A.; Ahn Y.; Greve H.; Rowley T.,Shipilov A.,The impact of governance practices on firm outcomes: a machine-learning exploration,Journal of Organization Design,,2245408X,13,45-64,2,0,Agency theory | Board of directors | Governance | Machine learning,"What are the implications of adopting the various board governance practices that have been proposed as solutions to the conflict of interest between managers and shareholders? Agency theory suggests that board independence and incentive alignment will improve firm outcomes. Yet, the evidence so far has led to both disputes on their effectiveness and proposals that board member motivations and capabilities are important additional factors. As a result, the list of proposed governance practices is now so long that it is difficult to assess which practice does what. To address this question, a fruitful approach is to use data to describe how governance practices are associated with beneficial outcomes for the firm and its shareholders, and thus lay a foundation for theory building and causal research. Using algorithm supported induction, we examine the role of board reform governance practices for the performance of Canadian firms between 2001 and 2010. We find that only a small subset of practices is associated with firm value creation and distribution. Using interviews with board members, we gain further insight into the mechanisms driving these effects and propose theory for additional testing. Our work demonstrates that independence of directors and the alignment of their interests with those of the shareholders need to be complemented with practices that result in motivated and capable board members.",2,STRAT,exclude,E3,ML explores governance practices -> outcomes; AI as method
2-s2.0-85196638208,10.1016/j.technovation.2024.103063,2024,Shore A.; Tiwari M.; Tandon P.; Foropon C.,Shore A.,Building entrepreneurial resilience during crisis using generative AI: An empirical study on SMEs,Technovation,01664972,,135,,129,1,Dynamic capability view | Entrepreneurial orientation | Entrepreneurial resilience | Generative AI | Market turbulence,"Recently, Gen AI has garnered significant attention across various sectors of society, particularly capturing the interest of small business due to its capacity to allow them to reassess their business models with minimal investment. To understand how small and medium-sized firms have utilised Gen AI-based tools to cope with the market's high level of turbulence caused by the COVID-19 pandemic, geopolitical crises, and economic slowdown, researchers have conducted an empirical study. Although Gen AI is receiving more attention, there remains a dearth of empirical studies that investigate how it influences the entrepreneurial orientation of firms and their ability to cultivate entrepreneurial resilience amidst market turbulence. Most of the literature offers anecdotal evidence. To address this research gap, the authors have grounded their theoretical model and research hypotheses in the contingent view of dynamic capability. They tested the research hypotheses using cross-sectional data from a pre-tested survey instrument, which yielded 87 useable responses from small and medium enterprises in France. The authors used variance-based structural equation modelling with the commercial WarpPLS 7.0 software to test the theoretical model. The study's findings suggest that Gen AI and EO have a significant influence on building entrepreneurial resilience as higher-order and lower-order dynamic capabilities. However, market turbulence has a negative moderating effect on the path that joins entrepreneurial orientation and entrepreneurial resilience. The results suggest that the assumption that high market turbulence will have positive effects on dynamic capabilities and competitive advantage is not always true, and the linear assumption does not hold, which is consistent with some scholars' assumptions. The study's results offer significant contributions to the contingent view of dynamic capabilities and open new research avenues that require further investigation into the non-linear relationship of market turbulence.",3,INNOV,exclude,E4,"FULL-TEXT VERDICT: DV = entrepreneurial resilience (dynamic capability), no performance/CA outcome measured"
2-s2.0-85125139450,10.1080/09537325.2022.2035349,2024,Song K.; Ran C.; Yang L.,Song K.,A digital analysis system of patents integrating natural language processing and machine learning,Technology Analysis and Strategic Management,09537325,14653990,36,440-456,12,0,Digital analysis system of patents | machine learning | natural language processing | patent evaluation | patent recommendation,"Technological upgradation is the driving force of social and economic development. Although technological upgradation is extensively needed, it is characterised as high intelligence, high investment, and high risk. In the face of complex market competition patterns, industrial enterprises urgently need to seek external cooperation and achieve sustainable competitive advantage. However, the current digital systems of patents fail to fulfil efficiency improvement from technology transfer to research and development (R&D) cooperation for industrial enterprise. Nor does it provide adequate support for industrial enterprises’ technological upgradation. Therefore, this research proposes a systematic framework that combines nautral language processing (NLP) and machine learning (ML) technologies, including the patent recommendation model, patent transferability evaluation model, and research team detection model. Such a digital system of patents improves the efficiency of technology transactions and R&D cooperation with research institutions for industrial enterprises to identify related authorised patents and locate technology research teams. It is also expected that the developed system will enable research institutions to recommend valuable patents and transfer innovative technologies effectively.",2,STRAT,exclude,E3,NLP/ML patent analysis system proposal; AI as tool built by researchers
2-s2.0-85196513308,10.1108/JAEE-07-2023-0205,2024,Sufi U.; Hasan A.; Hussainey K.,Sufi U.,Improving the prediction of firm performance using nonfinancial disclosures: a machine learning approach,Journal of Accounting in Emerging Economies,20421168,20421176,14,1223-1251,7,0,Corporate governance | Firm performance | Machine learning | Narrative disclosure tone | Random forest | Stochastic gradient boosting,"Purpose: The purpose of this study is to test whether the prediction of firm performance can be enhanced by incorporating nonfinancial disclosures, such as narrative disclosure tone and corporate governance indicators, into financial predictive models. Design/methodology/approach: Three predictive models are developed, each with a different set of predictors. This study utilises two machine learning techniques, random forest and stochastic gradient boosting, for prediction via the three models. The data are collected from a sample of 1,250 annual reports of 125 nonfinancial firms in Pakistan for the period 2011–2020. Findings: Our results indicate that both narrative disclosure tone and corporate governance indicators significantly add to the accuracy of financial predictive models of firm performance. Practical implications: Our results offer implications for the restoration of investor confidence in the highly uncertain Pakistani market by establishing nonfinancial disclosures as reliable predictors of future firm performance. Accordingly, they encourage investors to pay more attention to these disclosures while making investment decisions. In addition, they urge regulators to promote and strengthen the reporting of such nonfinancial information. Originality/value: This study addresses the neglect of nonfinancial disclosures in the prediction of firm performance and the scarcity of corporate governance literature relevant to the use of machine learning techniques.",2,ACCOUNT,exclude,E3,ML predicts firm performance from disclosures; AI as method
2-s2.0-85182570866,10.1016/j.jbusres.2024.114500,2024,Sullivan Y.; Fosso Wamba S.,Sullivan Y.,Artificial intelligence and adaptive response to market changes: A strategy to enhance firm performance and innovation,Journal of Business Research,01482963,,174,,205,0,Adaptive response to market changes | AI-powered capabilities | Artificial intelligence | Firm performance | Innovation,"This research examines how AI-powered capabilities can bring value to organizations by enhancing their Adaptive Response to Market Changes (ARMC). Utilizing insights from organizational agility and the dynamic capability framework, we define ARMC as an organization's ability to promptly identify and adjust to market changes, with customer responsiveness and operational adjustment as foundational competencies. We outline three AI-powered capabilities (AI-enabled automation, AI-enabled analytics, and AI-enabled relational capabilities) as ARMC's predictors. We posit that the strengths of these relationships depend on environmental hostility and dynamism. Additionally, we propose positive associations between ARMC and three organizational outcomes: firm performance, process innovation, and product innovation. Our research employs a two-stage design, surveying IT and business executives from firms that have adopted AI. The results demonstrate significant interaction effects of environmental hostility and dynamism on the relationships between AI-powered capabilities and ARMC. Furthermore, we find that ARMC positively influences firm performance and innovation.",3,ETHICS-CSR-MAN,include,,"AI capabilities -> adaptive response -> firm performance + innovation, executive survey"
2-s2.0-85207802048,10.1016/j.techsoc.2024.102752,2024,Sun Z.; Che S.; Wang J.,Sun Z.,Deconstruct artificial intelligence's productivity impact: A new technological insight,Technology in Society,0160791X,,79,,22,0,Artificial intelligence | Dynamic effects | Firm productivity | Policy regulation | Solow's paradox,"Some viewpoints suggest that IT investment seems to fail to significantly stimulate enterprise productivity in some cases. Therefore, revealing the impact of AI on firm productivity is an important topic to analyze whether Solow's paradox can be valid in the digital age. Based on panel data of 3235 listed companies in China from 2007 to 2021, we comprehensively discuss the impact and mechanism of AI on firm productivity using fixed-effects model, systematic GMM model, and mediated-effects model. Key findings include: AI significantly improves firm productivity, especially in state-controlled, internationally minded, and innovative firms. Mitigating information asymmetry is a key channel, while specialized division of labor and independent green innovation are potential ones. Supply chain digital transformation policies enhance the productivity effect of AI, and AI shows green development benefits. Additionally, the dynamic decomposition effect shows that the productivity-enhancing effect of AI is slowing down in the long run. This research provides important insights into understanding AI's role in the digital age and holds significance for firms and policymakers.",2,SOC SCI,include,,"AI -> firm productivity, 3235 Chinese listed firms panel, mechanisms + conditions"
2-s2.0-85190743737,10.1016/j.bushor.2024.04.006,2024,Tursunbayeva A.; Chalutz-Ben Gal H.,Tursunbayeva A.,Adoption of artificial intelligence: A TOP framework-based checklist for digital leaders,Business Horizons,00076813,,67,357-368,75,1,AI skills | Artificial intelligence | Digital leadership | Digitization | Employee trust | Organizational culture,"In the evolving digital landscape, organizations and leaders face increasing pressure to adopt and effectively utilize artificial intelligence (AI), which is steadily entering the management, work, and organizational ecosystems and enabling digital transformations. We observe AI-based applications assisting employees in daily tasks, project management, decision-making, and collaboration. But the successful adoption of AI is a complex and multifaceted process that requires careful consideration of various factors. What are the specific factors affecting the full adoption of AI from a multilevel viewpoint? This article presents a framework-based checklist concerning technology, organizations, and people (TOP) designed to assist digital leaders in navigating the challenges associated with AI adoption. Drawing upon extensive research and industry insights, this checklist provides digital leaders with a comprehensive tool to assess and address critical considerations during the adoption of AI. By systematically evaluating the technology, organization, and people dimensions, organizations and digital leaders can enhance their chances of a successful digital transformation and gain a competitive advantage in the digital age.",2,ETHICS-CSR-MAN,exclude,E1,"framework-based checklist, not empirical"
2-s2.0-85189952414,10.1108/BPMJ-07-2023-0566,2024,Zebec A.; Indihar Štemberger M.,Zebec A.,Creating AI business value through BPM capabilities,Business Process Management Journal,14637154,,30,1-26,37,1,Artificial intelligence | BPM capabilities | Business process automation | Business process innovation | Business process performance | Firm performance | IT business value | Organisational learning,"Purpose: Although businesses continue to take up artificial intelligence (AI), concerns remain that companies are not realising the full value of their investments. The study aims to provide insights into how AI creates business value by investigating the mediating role of Business Process Management (BPM) capabilities. Design/methodology/approach: The integrative model of IT Business Value was contextualised, and structural equation modelling was applied to validate the proposed serial multiple mediation model using a sample of 448 organisations based in the EU. Findings: The results validate the proposed serial multiple mediation model according to which AI adoption increases organisational performance through decision-making and business process performance. Process automation, organisational learning and process innovation are significant complementary partial mediators, thereby shedding light on how AI creates business value. Research limitations/implications: In pursuing a complex nomological framework, multiple perspectives on realising business value from AI investments were incorporated. Several moderators presenting complementary organisational resources (e.g. culture, digital maturity, BPM maturity) could be included to identify behaviour in more complex relationships. The ethical and moral issues surrounding AI and its use could also be examined. Practical implications: The provided insights can help guide organisations towards the most promising AI activities of process automation with AI-enabled decision-making, organisational learning and process innovation to yield business value. Originality/value: While previous research assumed a moderated relationship, this study extends the growing literature on AI business value by empirically investigating a comprehensive nomological network that links AI adoption to organisational performance in a BPM setting.",2,OPS&TECH,include,,"AI adoption -> org performance via BPM capabilities, SEM n=448 EU"
2-s2.0-105018685226,10.1108/EJM-06-2024-0463,2025,Aggarwal A.; Kumar V.; Srivastava R.K.,Aggarwal A.,Value creation and value appropriation using voice AI technology: integrating B2B and B2C marketplace,European Journal of Marketing,03090566,,,,0,0,"Anthropomorphism, | Artificial intelligence | Business models | Interaction orientation | Regulatory environment | Technology adoption | Value appropriation | Value creation | Voice AI technology","Purpose – While Voice AI technology (VAI) adoption has accelerated, firms struggle to create and appropriate value. This study aims to address the critical gap between widespread VAI adoption and elusive monetization by developing an integrated framework that guides strategic implementation decisions. It examines how firms should integrate B2B and B2C marketplaces to create value with VAI and identify optimal approaches for value appropriation through build versus buy decisions. Design/methodology/approach – This study employed a rigorous grounded theory methodology with methodological triangulation across three studies: consumer surveys (Study 1; n = 197), 18 structured focus groups with business professionals (Study 2) and in-depth expert interviews with decision-makers responsible for VAI implementation (Study 3). This systematic approach ensured comprehensive theory development validated through multiple stakeholder perspectives. Findings – The framework used in this study reveals several counterintuitive relationships challenging conventional technology implementation. The authors found that higher integration potential paradoxically leads to lower investment in proprietary solutions as firms leverage existing platforms. Regulatory constraints emerge as powerful counterforces that override otherwise compelling business incentives. Domain specialization significantly enhances perceived value and competitive advantage. Anthropomorphism produces different effects across use contexts in B2C market, requiring calibrated design approaches rather than uniform implementation. Research limitations/implications – Longitudinal research examining VAI’s influence on business value, customer acquisition and retention through behavioral data analysis would significantly advance understanding of long-term value creation mechanisms. Similarly, cross-cultural studies comparing VAI adoption patterns across regions with different privacy orientations, technological infrastructures and cultural attitudes toward AI could reveal important contextual boundaries to our framework. Finally, sector-specific investigations testing our framework across manufacturing, financial services, healthcare and hospitality would enhance its practical utility while potentially revealing industry-specific modifications. Practical implications – The framework used in this study provides actionable guidance across strategic positioning of VAI capabilities, implementation approach including investment sequencing and context-sensitive consumer experience design. These insights enable organizations to make more informed decisions, ultimately enhancing value creation and appropriation. Social implications – The findings highlight important trade-offs between regulatory protections and business innovation, offering policymakers insights for developing balanced frameworks that safeguard consumer interests while enabling technological advancement. Originality/value – The paper proposes an integrated framework for VAI value creation and monetization. It demonstrates bidirectional influence of B2B and B2C marketplace for implementation and monetization success. This study makes three significant contributions: bridging information systems and marketing perspectives, extending technology adoption research beyond initial acceptance to examine counterintuitive factors influencing postadoption value extraction and revealing how the interplay between B2B and B2C marketplaces creates unique dynamics in VAI implementation.",3,MKT,exclude,E4,grounded theory framework on voice-AI value creation; no performance outcome measured
2-s2.0-85219041263,10.1016/j.ijhm.2025.104133,2025,Alam S.S.; Kokash H.A.; Ahsan M.N.; Ahmed S.,Alam S.S.,"Relationship between technology readiness, AI adoption and value creation in hospitality industry: Moderating role of technological turbulence",International Journal of Hospitality Management,02784319,,127,,13,0,Artificial intelligence adoption | Dynamic capabilities | Technological turbulence | Technology readiness | Value creation,"This study explores the relationship between technology readiness, AI adoption, dynamic capabilities, sustainable competitive advantage, and technological turbulence, assessing their collective impact on value creation within the Malaysian hospitality industry. Employing the Resource-Based View, Dynamic Capabilities Framework, and Contingency Theory, the research analyzes these strategic elements' roles in enhancing organizational performance. Using stratified purposive sampling, data was collected from 336 respondence. Structural equation modeling was utilized to analyze the relationships among the constructs. The results reveal that technology readiness and AI adoption positively influence value creation, with AI adoption playing a direct role in enhancing organizational capabilities and efficiencies. Interestingly, dynamic capabilities exhibited a complex impact, initially impeding value creation due to transitional challenges, but ultimately proving crucial in navigating technological turbulence. Sustainable competitive advantage emerged as a significant mediator, translating AI adoption and dynamic capabilities into enhanced value creation. However, the moderating effects of technological turbulence were selective, significantly influencing only the relationship between dynamic capabilities and value creation. These findings underscore the nuanced interplay between strategic resources and environmental factors in driving value creation in a technologically evolving industry.",3,SECTOR,include,,"tech readiness + AI adoption -> value creation, SCA as mediator, SEM n=336 hospitality"
2-s2.0-105009422847,10.1016/j.techsoc.2025.103007,2025,Alwakid W.N.; Dahri N.A.,Alwakid W.N.,Harnessing AI capabilities and green entrepreneurial orientation for sustainable SME performance using SEM analysis approach,Technology in Society,0160791X,,83,,13,0,AI capabilities | Green entrepreneurial orientation | Green innovations | SME creativity | Sustainable performance,"The growing focus on sustainability and technological innovation has encouraged small and medium-sized enterprises (SMEs) to adopt artificial intelligence (AI) capabilities and a green entrepreneurial orientation as central drivers of sustainable performance. This research investigates the contribution of AI capabilities in promoting green innovations and creativity in SMEs, which collectively lead to long-term sustainability. The study is based on the Resource-Based View (RBV) theory, which offers a theoretical framework for investigating how AI-based competencies and green entrepreneurial strategies can promote SME performance. The research model comprises infrastructure, business integration, and a proactive attitude influencing AI capabilities, affecting SME creativity and green innovations. Moreover, green risk-taking, innovativeness, and proactiveness significantly contribute to green entrepreneurial orientation, affecting SME creativity and green innovations, ultimately resulting in sustainable performance. A quantitative research design was applied, utilizing survey data gathered from SME managers and business owners functioning in the manufacturing and service sectors in Saudi Arabia. 250 SMEs were examined using “Structural Equation Modeling (SEM)” analysis to validate the proposed hypotheses and evaluate these relationships. The results indicate that AI capabilities significantly impact SME creativity and green innovations. Moreover, green entrepreneurial orientation positively influences SME creativity and green innovations, which in turn facilitate sustainable performance. This research identifies the importance of SMEs allocating resources to AI infrastructure, proactive business strategies, and entrepreneurial risk-taking to foster green innovation and sustainability. Moreover, policymakers must facilitate AI-based green initiatives by implementing incentives and regulatory policies to promote sustainable development. By integrating AI capabilities and green entrepreneurship, SMEs can achieve a competitive advantage while achieving world sustainability goals.",2,SOC SCI,include,,"AI capabilities + green EO -> sustainable SME performance, SEM n=250"
2-s2.0-105025451433,10.1108/IJEBR-12-2024-1489,2025,Banna H.; Alam A.,Banna H.,The value of AI on entrepreneurship: evidence from the European Union,International Journal of Entrepreneurial Behaviour and Research,13552554,,,1-28,1,0,Artificial intelligence (AI) | Entrepreneurship | Innovation | R&D | Resource-based theory,"Purpose – This study explores the impact of artificial intelligence (AI) investments on entrepreneurship, focusing on their influence on firm revenue growth across 26 European countries from 2012 to 2023. The research aims to uncover the dynamics of AI investment, particularly its short-term challenges and long-term benefits and to examine the critical interplay between AI adoption and R&D innovation strategies. Design/methodology/approach – The analysis uses an unbalanced panel dataset of 1, 479 firms, applying the Cameron et al. (2011) multi-way clustering (CGM) estimation technique to account for heteroscedasticity and cross-sectional dependence. Robustness tests include alternative AI proxies and instrumental variable (2SLS-IV) regression to mitigate potential endogeneity issues. Findings – The results reveal a U-shaped relationship between AI investments and revenue growth, indicating that initial AI adoption may hinder revenue growth due to high upfront costs or inefficiencies. However, significant long-term revenue benefits emerge as firms gain experience with AI. Additionally, integrating AI with innovation strategies substantially enhances revenue growth, highlighting that standalone AI investments are insufficient for achieving entrepreneurial success. Originality/value – This study contributes to the literature by providing empirical evidence on the dual-phase impact of AI investments on firm performance and emphasising the strategic importance of aligning AI adoption with innovation efforts. The findings offer actionable insights for policymakers and business leaders aiming to leverage AI for sustained entrepreneurial growth.",3,ENT-SBM,include,,"AI investments -> revenue growth (U-shape), panel 1479 EU firms + R&D interplay"
2-s2.0-105007145029,10.1016/j.irfa.2025.104378,2025,Basnet A.; Elias M.; Salganik-Shoshan G.; Walker T.; Zhao Y.,Basnet A.,Analyzing the market's reaction to AI narratives in corporate filings,International Review of Financial Analysis,10575219,,105,,4,1,Artificial intelligence | Corporate disclosure | Firm value | Narrative | Textual analysis,"The recent surge in artificial intelligence (AI) interest and investment, driven by advances in large language models, has led the market to reward adopters and penalize laggards. Yet, AI integration predates this “AI gold rush,” with earlier adopters reaping significant benefits. Drawing on a 2005–2018 sample, a formative period before AI became mainstream, this paper examines how early AI adoption and its disclosure in corporate filings affect U.S. firms. Analyzing 10-K filings, we categorize AI-related mentions as actionable, speculative, or irrelevant. We establish causal links between these disclosures and firm value, with innovation and productivity as likely channels. Our findings indicate that markets distinguish between substantive AI initiatives and opportunistic signaling, swiftly pricing anticipated future gains. Actionable disclosures outlining clear implementation plans yield significant valuation benefits, particularly upon first introduction, whereas speculative or irrelevant disclosures have no impact. Moreover, firms with substantive AI disclosures subsequently increase innovation activities, evidenced by higher R&D spending and patent filings, which are a key step in a pathway to modest, lagged productivity gains and ultimately improved valuation. We further find that these innovation activities act as concurrent signals of strategic reorientation towards AI, reinforcing the market's swift positive valuation. We show that early adopters of actionable disclosures gain competitive advantages, while peers that either remain silent or offer only vague AI disclosures face market penalties. These findings highlight that the strategic communication of genuine technological initiatives can significantly impact a company's perceived value and competitive positioning in the market.",3,FINANCE,include,,"actionable AI disclosures -> firm value via innovation/productivity, 10-K panel, causal"
